Id,Nombre,Localidad,Ano,NoFamilias,NoPersonas,Ano_1,ExistenDesplazados,PorcentajeDesplazamiento,Fecha,Alcantarillado,Electricidad,Colegio,CAI,Gas,HospitalPublico,Transporte,IntervencionTecho,Coordenada,poligono,poligono_geojson
97,Guabal,Ciudad Bolivar,2000,115,600,2000,Si,Menos del 50%,2015-12-10T15:50:17.013Z,No,Si,No,No,No,No,Si,Si,POINT (-74.1710888888889 4.54288388888889),"POLYGON((-74.1717428 4.5420194,-74.1718125 4.542089,-74.171893 4.5425008,-74.1719413 4.5434152,-74.1721612 4.5437093,-74.1723758 4.5440622,-74.1724375 4.5442788,-74.1715873 4.5445702,-74.1714638 4.5442013,-74.1713566 4.5439767,-74.171083 4.5440516,-74.1709167 4.5441638,-74.1703422 4.54342,-74.1701925 4.5431799,-74.1702837 4.5428109,-74.1696357 4.5419624,-74.169626 4.541916,-74.1696518 4.5418758,-74.1702247 4.5416398,-74.170895 4.54139,-74.171236 4.541577,-74.1715979 4.5418972,-74.1717428 4.5420194))","{""type"":""Polygon"",""coordinates"":[[[-74.1717428,4.5420194],[-74.1718125,4.542089],[-74.171893,4.5425008],[-74.1719413,4.5434152],[-74.1721612,4.5437093],[-74.1723758,4.5440622],[-74.1724375,4.5442788],[-74.1715873,4.5445702],[-74.1714638,4.5442013],[-74.1713566,4.5439767],[-74.171083,4.5440516],[-74.1709167,4.5441638],[-74.1703422,4.54342],[-74.1701925,4.5431799],[-74.1702837,4.5428109],[-74.1696357,4.5419624],[-74.169626,4.541916],[-74.1696518,4.5418758],[-74.1702247,4.5416398],[-74.170895,4.54139],[-74.171236,4.541577],[-74.1715979,4.5418972],[-74.1717428,4.5420194]]]}"
98,La cascada,Ciudad Bolivar,2014,20,80,2014,Si,,2015-12-10T16:04:18.670Z,No,No,Si,No,No,No,No,No,POINT (-74.1594044444445 4.54194277777778),"POLYGON((-74.1589567 4.5423403,-74.1588709 4.5421906,-74.1589084 4.5419018,-74.1589835 4.541605,-74.1590104 4.5413537,-74.159072 4.5413377,-74.1591364 4.5415248,-74.1591901 4.5416291,-74.1594147 4.5416284,-74.1595052 4.5416652,-74.1594073 4.5418831,-74.1592437 4.5420569,-74.159072 4.5422548,-74.1589567 4.5423403))","{""type"":""Polygon"",""coordinates"":[[[-74.1589567,4.5423403],[-74.1588709,4.5421906],[-74.1589084,4.5419018],[-74.1589835,4.541605],[-74.1590104,4.5413537],[-74.159072,4.5413377],[-74.1591364,4.5415248],[-74.1591901,4.5416291],[-74.1594147,4.5416284],[-74.1595052,4.5416652],[-74.1594073,4.5418831],[-74.1592437,4.5420569],[-74.159072,4.5422548],[-74.1589567,4.5423403]]]}"
99,Mirador,Ciudad Bolivar,1980,3000,12000,1980,Si,Menos del 50%,2015-12-10T15:54:59.233Z,Si,Si,Si,Si,Si,No,Si,Si,POINT (-74.1589338888889 4.55069722222222),"POLYGON((-74.1596675 4.5508536,-74.1593564 4.5517413,-74.158659 4.5536985,-74.157778 4.552891,-74.1578436 4.5523509,-74.1580796 4.5519766,-74.158287 4.551442,-74.15833 4.551248,-74.158391 4.550694,-74.1583049 4.5504365,-74.158179 4.550091,-74.1580904 4.5497734,-74.1580796 4.5496611,-74.1580099 4.5496451,-74.1579938 4.5495221,-74.1581172 4.5494954,-74.1581708 4.5492708,-74.1583908 4.5489125,-74.1586161 4.5487414,-74.1588414 4.5483296,-74.1593778 4.548613,-74.1597533 4.5487414,-74.1604024 4.5489285,-74.1599679 4.5500087,-74.1596675 4.5508536))","{""type"":""Polygon"",""coordinates"":[[[-74.1596675,4.5508536],[-74.1593564,4.5517413],[-74.158659,4.5536985],[-74.157778,4.552891],[-74.1578436,4.5523509],[-74.1580796,4.5519766],[-74.158287,4.551442],[-74.15833,4.551248],[-74.158391,4.550694],[-74.1583049,4.5504365],[-74.158179,4.550091],[-74.1580904,4.5497734],[-74.1580796,4.5496611],[-74.1580099,4.5496451],[-74.1579938,4.5495221],[-74.1581172,4.5494954],[-74.1581708,4.5492708],[-74.1583908,4.5489125],[-74.1586161,4.5487414],[-74.1588414,4.5483296],[-74.1593778,4.548613],[-74.1597533,4.5487414],[-74.1604024,4.5489285],[-74.1599679,4.5500087],[-74.1596675,4.5508536]]]}"
100,Montecarlo,Bosa,1980,600,3000,1980,Si,Menos del 50%,2015-12-10T15:55:47.373Z,No,Si,No,No,Si,No,No,No,POINT (-74.1997555555556 4.61888472222222),"POLYGON((-74.201195 4.619459,-74.2006838 4.6195123,-74.1999757 4.6197476,-74.1994715 4.6199187,-74.1990209 4.6201967,-74.198581 4.6203357,-74.1982698 4.6198759,-74.1986024 4.6195979,-74.1987741 4.6192129,-74.1988921 4.6187316,-74.1990423 4.6179189,-74.1991496 4.6177692,-74.1996324 4.6176836,-74.1995895 4.6175018,-74.199965 4.6173628,-74.2000937 4.6174484,-74.2001903 4.6175981,-74.2002547 4.617844,-74.2006624 4.6178654,-74.2008877 4.6184643,-74.201195 4.619459))","{""type"":""Polygon"",""coordinates"":[[[-74.201195,4.619459],[-74.2006838,4.6195123],[-74.1999757,4.6197476],[-74.1994715,4.6199187],[-74.1990209,4.6201967],[-74.198581,4.6203357],[-74.1982698,4.6198759],[-74.1986024,4.6195979],[-74.1987741,4.6192129],[-74.1988921,4.6187316],[-74.1990423,4.6179189],[-74.1991496,4.6177692],[-74.1996324,4.6176836],[-74.1995895,4.6175018],[-74.199965,4.6173628],[-74.2000937,4.6174484],[-74.2001903,4.6175981],[-74.2002547,4.617844],[-74.2006624,4.6178654],[-74.2008877,4.6184643],[-74.201195,4.619459]]]}"
101,Nueva Oportunidad,Ciudad Bolivar,2014,300,1200,2014,Si,,2015-12-10T15:57:59.403Z,No,No,Si,No,No,No,No,No,POINT (-74.15785 4.54),"POLYGON((-74.1587046 4.5412441,-74.1585383 4.5411104,-74.1584793 4.5410783,-74.1582862 4.5411024,-74.1580179 4.5411398,-74.1576961 4.5412682,-74.1574198 4.541351,-74.1570872 4.5414259,-74.1571516 4.5402548,-74.1569477 4.5400034,-74.1562343 4.5393083,-74.1560009 4.5390917,-74.1558453 4.5389339,-74.1561323 4.5387575,-74.156245 4.5386532,-74.1564555 4.5385195,-74.1566634 4.5384901,-74.1567224 4.5384393,-74.1568512 4.5384152,-74.1569799 4.5383617,-74.1572186 4.5382387,-74.1572991 4.5382174,-74.1574654 4.5381853,-74.1575512 4.5382628,-74.1576371 4.53845,-74.1578382 4.5388216,-74.1578999 4.5389687,-74.1579214 4.5391585,-74.1579965 4.5395382,-74.1581547 4.5395141,-74.158203 4.5398216,-74.1583478 4.5398377,-74.1583934 4.5398484,-74.1584256 4.5398831,-74.1584793 4.5399981,-74.1586697 4.5400783,-74.1586456 4.5402254,-74.1588843 4.5403323,-74.1589111 4.5402788,-74.1589996 4.5403029,-74.1590291 4.5401585,-74.1597372 4.5402976,-74.1600671 4.5403564,-74.1598821 4.5408243,-74.1597211 4.541089,-74.1596434 4.5412548,-74.1595736 4.5413243,-74.1595414 4.5413591,-74.1594878 4.54145,-74.1594717 4.5415275,-74.1594315 4.541573,-74.1593403 4.5416024,-74.1592249 4.541597,-74.1591713 4.5415436,-74.1591498 4.5414553,-74.1591311 4.5413163,-74.1590855 4.5412147,-74.1589943 4.5411478,-74.1589299 4.5411264,-74.1588843 4.5411238,-74.1588226 4.5411665,-74.1587824 4.541204,-74.1587046 4.5412441))","{""type"":""Polygon"",""coordinates"":[[[-74.1587046,4.5412441],[-74.1585383,4.5411104],[-74.1584793,4.5410783],[-74.1582862,4.5411024],[-74.1580179,4.5411398],[-74.1576961,4.5412682],[-74.1574198,4.541351],[-74.1570872,4.5414259],[-74.1571516,4.5402548],[-74.1569477,4.5400034],[-74.1562343,4.5393083],[-74.1560009,4.5390917],[-74.1558453,4.5389339],[-74.1561323,4.5387575],[-74.156245,4.5386532],[-74.1564555,4.5385195],[-74.1566634,4.5384901],[-74.1567224,4.5384393],[-74.1568512,4.5384152],[-74.1569799,4.5383617],[-74.1572186,4.5382387],[-74.1572991,4.5382174],[-74.1574654,4.5381853],[-74.1575512,4.5382628],[-74.1576371,4.53845],[-74.1578382,4.5388216],[-74.1578999,4.5389687],[-74.1579214,4.5391585],[-74.1579965,4.5395382],[-74.1581547,4.5395141],[-74.158203,4.5398216],[-74.1583478,4.5398377],[-74.1583934,4.5398484],[-74.1584256,4.5398831],[-74.1584793,4.5399981],[-74.1586697,4.5400783],[-74.1586456,4.5402254],[-74.1588843,4.5403323],[-74.1589111,4.5402788],[-74.1589996,4.5403029],[-74.1590291,4.5401585],[-74.1597372,4.5402976],[-74.1600671,4.5403564],[-74.1598821,4.5408243],[-74.1597211,4.541089],[-74.1596434,4.5412548],[-74.1595736,4.5413243],[-74.1595414,4.5413591],[-74.1594878,4.54145],[-74.1594717,4.5415275],[-74.1594315,4.541573],[-74.1593403,4.5416024],[-74.1592249,4.541597],[-74.1591713,4.5415436],[-74.1591498,4.5414553],[-74.1591311,4.5413163],[-74.1590855,4.5412147],[-74.1589943,4.5411478],[-74.1589299,4.5411264],[-74.1588843,4.5411238],[-74.1588226,4.5411665],[-74.1587824,4.541204],[-74.1587046,4.5412441]]]}"
102,Potosí,Ciudad Bolivar,1980,6000,24000,1980,Si,Menos del 50%,2015-12-10T16:12:14.170Z,Si,Si,Si,Si,Si,No,No,Si,POINT (-74.1701097222222 4.56908833333333),"POLYGON((-74.1720915 4.5683718,-74.1723275 4.5686499,-74.1726923 4.5693451,-74.1731107 4.5700295,-74.1732073 4.5705108,-74.173272 4.571109,-74.173171 4.571224,-74.172654 4.571455,-74.1722417 4.57173,-74.1719842 4.5717407,-74.1715121 4.571976,-74.1709971 4.5719225,-74.1701925 4.5717728,-74.1698921 4.5716444,-74.1696668 4.5714091,-74.16942 4.5710562,-74.1690552 4.5707461,-74.1685402 4.5704894,-74.1682076 4.5702541,-74.1679287 4.5698798,-74.1674352 4.5695162,-74.1669309 4.5691739,-74.1667377 4.5690777,-74.1667056 4.5677195,-74.1668129 4.5673558,-74.1672099 4.5674735,-74.167757 4.5673879,-74.168145 4.567277,-74.168407 4.567078,-74.168626 4.566934,-74.1688836 4.5666286,-74.1690981 4.5663612,-74.1693878 4.5662222,-74.1697097 4.5661794,-74.1700959 4.5662329,-74.1705251 4.5663612,-74.170671 4.566343,-74.1708362 4.5661045,-74.1710401 4.5662222,-74.1713512 4.5664682,-74.1714692 4.5667569,-74.1716301 4.5674735,-74.1718554 4.5679333,-74.1720915 4.5683718))","{""type"":""Polygon"",""coordinates"":[[[-74.1720915,4.5683718],[-74.1723275,4.5686499],[-74.1726923,4.5693451],[-74.1731107,4.5700295],[-74.1732073,4.5705108],[-74.173272,4.571109],[-74.173171,4.571224],[-74.172654,4.571455],[-74.1722417,4.57173],[-74.1719842,4.5717407],[-74.1715121,4.571976],[-74.1709971,4.5719225],[-74.1701925,4.5717728],[-74.1698921,4.5716444],[-74.1696668,4.5714091],[-74.16942,4.5710562],[-74.1690552,4.5707461],[-74.1685402,4.5704894],[-74.1682076,4.5702541],[-74.1679287,4.5698798],[-74.1674352,4.5695162],[-74.1669309,4.5691739],[-74.1667377,4.5690777],[-74.1667056,4.5677195],[-74.1668129,4.5673558],[-74.1672099,4.5674735],[-74.167757,4.5673879],[-74.168145,4.567277],[-74.168407,4.567078],[-74.168626,4.566934],[-74.1688836,4.5666286],[-74.1690981,4.5663612],[-74.1693878,4.5662222],[-74.1697097,4.5661794],[-74.1700959,4.5662329],[-74.1705251,4.5663612],[-74.170671,4.566343],[-74.1708362,4.5661045],[-74.1710401,4.5662222],[-74.1713512,4.5664682],[-74.1714692,4.5667569],[-74.1716301,4.5674735],[-74.1718554,4.5679333],[-74.1720915,4.5683718]]]}"
103,San José Sector 2,Bosa,1980,150,600,1980,No,Más del 50%,2015-12-10T16:26:06.640Z,No,Si,Si,Si,No,No,Si,No,POINT (-74.2145113888889 4.61732916666667),"POLYGON((-74.2146635 4.6177371,-74.2141324 4.6177317,-74.2141915 4.6167372,-74.214288 4.616518,-74.2144597 4.6165554,-74.2144543 4.6168121,-74.2145669 4.6168602,-74.214583 4.6169244,-74.2146796 4.6169564,-74.2146635 4.6177371))","{""type"":""Polygon"",""coordinates"":[[[-74.2146635,4.6177371],[-74.2141324,4.6177317],[-74.2141915,4.6167372],[-74.214288,4.616518],[-74.2144597,4.6165554],[-74.2144543,4.6168121],[-74.2145669,4.6168602],[-74.214583,4.6169244],[-74.2146796,4.6169564],[-74.2146635,4.6177371]]]}"
104,San José de Sauces,Ciudad Bolivar,1990,132,660,1990,Si,Menos del 50%,2015-12-10T16:29:00.013Z,No,No,No,No,Si,No,Si,No,POINT (-74.1578744444445 4.54792638888889),"POLYGON((-74.1581118 4.5466933,-74.15827 4.5470141,-74.1583277 4.5472708,-74.158315 4.547524,-74.1582728 4.5478536,-74.158221 4.548091,-74.1581467 4.5483188,-74.1578972 4.5485647,-74.1575754 4.5483829,-74.1573286 4.5482118,-74.1569746 4.5485968,-74.1568459 4.548554,-74.1565885 4.5487465,-74.1563525 4.548415,-74.1564275 4.5483402,-74.1565348 4.5481905,-74.1565991 4.5480086,-74.1567494 4.547891,-74.1571571 4.5481049,-74.1574575 4.5477413,-74.1576935 4.5474204,-74.1578276 4.5472655,-74.1579187 4.5470997,-74.1581118 4.5466933))","{""type"":""Polygon"",""coordinates"":[[[-74.1581118,4.5466933],[-74.15827,4.5470141],[-74.1583277,4.5472708],[-74.158315,4.547524],[-74.1582728,4.5478536],[-74.158221,4.548091],[-74.1581467,4.5483188],[-74.1578972,4.5485647],[-74.1575754,4.5483829],[-74.1573286,4.5482118],[-74.1569746,4.5485968],[-74.1568459,4.548554],[-74.1565885,4.5487465],[-74.1563525,4.548415],[-74.1564275,4.5483402],[-74.1565348,4.5481905],[-74.1565991,4.5480086],[-74.1567494,4.547891],[-74.1571571,4.5481049],[-74.1574575,4.5477413],[-74.1576935,4.5474204],[-74.1578276,4.5472655],[-74.1579187,4.5470997],[-74.1581118,4.5466933]]]}"
105,Santa Viviana,Ciudad Bolivar,1993,1200,13500,1993,Si,Menos del 50%,2015-12-10T16:15:51.746Z,Si,Si,SI,Si,Si,No,Si,No,POINT (-74.1678852777778 4.58081166666667),"POLYGON((-74.1660726 4.5810236,-74.1658366 4.5808953,-74.1660619 4.5797189,-74.1661584 4.5792269,-74.1661477 4.579013,-74.1665661 4.5785318,-74.1668344 4.5781789,-74.1670382 4.5779008,-74.1675317 4.5777938,-74.1675425 4.5780612,-74.1675425 4.5782644,-74.1676605 4.5784248,-74.1678214 4.5786387,-74.1682184 4.5786922,-74.1683793 4.5790665,-74.1685421 4.5794218,-74.1686046 4.5796119,-74.1685725 4.5798259,-74.1685617 4.5801895,-74.1685617 4.580414,-74.168626 4.5805958,-74.1686582 4.5807776,-74.1689694 4.5811413,-74.1693878 4.581537,-74.1699457 4.5821786,-74.1701496 4.5825208,-74.1699994 4.5827989,-74.1698062 4.5832802,-74.1693342 4.5842748,-74.1691411 4.5837828,-74.1689479 4.583462,-74.1685832 4.5830984,-74.1681433 4.5826064,-74.1676176 4.5821144,-74.1667928 4.5812333,-74.1663838 4.5811412,-74.1660726 4.5810236))","{""type"":""Polygon"",""coordinates"":[[[-74.1660726,4.5810236],[-74.1658366,4.5808953],[-74.1660619,4.5797189],[-74.1661584,4.5792269],[-74.1661477,4.579013],[-74.1665661,4.5785318],[-74.1668344,4.5781789],[-74.1670382,4.5779008],[-74.1675317,4.5777938],[-74.1675425,4.5780612],[-74.1675425,4.5782644],[-74.1676605,4.5784248],[-74.1678214,4.5786387],[-74.1682184,4.5786922],[-74.1683793,4.5790665],[-74.1685421,4.5794218],[-74.1686046,4.5796119],[-74.1685725,4.5798259],[-74.1685617,4.5801895],[-74.1685617,4.580414],[-74.168626,4.5805958],[-74.1686582,4.5807776],[-74.1689694,4.5811413],[-74.1693878,4.581537],[-74.1699457,4.5821786],[-74.1701496,4.5825208],[-74.1699994,4.5827989],[-74.1698062,4.5832802],[-74.1693342,4.5842748],[-74.1691411,4.5837828],[-74.1689479,4.583462],[-74.1685832,4.5830984],[-74.1681433,4.5826064],[-74.1676176,4.5821144],[-74.1667928,4.5812333],[-74.1663838,4.5811412],[-74.1660726,4.5810236]]]}"
106,Tabor Alta Loma,Ciudad Bolivar,1990,600,3600,1990,Si,Menos del 50%,2015-12-10T16:27:40.576Z,Si,Si,Si,No,Si,No,Si,Si,POINT (-74.1564205555556 4.54086166666667),"POLYGON((-74.156009 4.5391746,-74.1562343 4.5393083,-74.1569477 4.5400034,-74.1571516 4.5402548,-74.1570872 4.5414259,-74.1569316 4.5414687,-74.1566688 4.5414847,-74.1566634 4.5424954,-74.156583 4.5425489,-74.1564381 4.5425649,-74.1564918 4.5427574,-74.1563094 4.5427949,-74.1562825 4.5421318,-74.1560251 4.5421532,-74.1555959 4.542089,-74.1556657 4.5418163,-74.1557246 4.5412762,-74.1557729 4.5394527,-74.156009 4.5391746))","{""type"":""Polygon"",""coordinates"":[[[-74.156009,4.5391746],[-74.1562343,4.5393083],[-74.1569477,4.5400034],[-74.1571516,4.5402548],[-74.1570872,4.5414259],[-74.1569316,4.5414687],[-74.1566688,4.5414847],[-74.1566634,4.5424954],[-74.156583,4.5425489],[-74.1564381,4.5425649],[-74.1564918,4.5427574],[-74.1563094,4.5427949],[-74.1562825,4.5421318],[-74.1560251,4.5421532],[-74.1555959,4.542089],[-74.1556657,4.5418163],[-74.1557246,4.5412762],[-74.1557729,4.5394527],[-74.156009,4.5391746]]]}"
107,Tierra Nueva,Ciudad Bolivar,2008,35,120,2008,Si,Menos del 50%,NULL,No,Si,Si,Si,No,No,Si,No,POINT (-74.1692216666667 4.53768805555556),"POLYGON((-74.1699216 4.5385008,-74.1693449 4.5384954,-74.1692725 4.5383002,-74.1685966 4.5383724,-74.1678777 4.5384099,-74.1678697 4.5381425,-74.1671669 4.5382254,-74.1671428 4.5379339,-74.1670623 4.5379339,-74.1670382 4.5375917,-74.167124 4.5375542,-74.167462 4.5374821,-74.1674727 4.5373751,-74.1676712 4.537343,-74.1676739 4.5372227,-74.1679233 4.5371799,-74.1678885 4.5366398,-74.1684303 4.5366211,-74.1689613 4.5366264,-74.168964 4.5365141,-74.169412 4.5365008,-74.1694227 4.5368537,-74.1695622 4.536843,-74.1695622 4.5369607,-74.1696909 4.5369767,-74.1696748 4.5371933,-74.1699055 4.5371853,-74.1698813 4.5375409,-74.169884 4.5377387,-74.1699564 4.5380008,-74.1699216 4.5385008))","{""type"":""Polygon"",""coordinates"":[[[-74.1699216,4.5385008],[-74.1693449,4.5384954],[-74.1692725,4.5383002],[-74.1685966,4.5383724],[-74.1678777,4.5384099],[-74.1678697,4.5381425],[-74.1671669,4.5382254],[-74.1671428,4.5379339],[-74.1670623,4.5379339],[-74.1670382,4.5375917],[-74.167124,4.5375542],[-74.167462,4.5374821],[-74.1674727,4.5373751],[-74.1676712,4.537343],[-74.1676739,4.5372227],[-74.1679233,4.5371799],[-74.1678885,4.5366398],[-74.1684303,4.5366211],[-74.1689613,4.5366264],[-74.168964,4.5365141],[-74.169412,4.5365008],[-74.1694227,4.5368537],[-74.1695622,4.536843],[-74.1695622,4.5369607],[-74.1696909,4.5369767],[-74.1696748,4.5371933],[-74.1699055,4.5371853],[-74.1698813,4.5375409],[-74.169884,4.5377387],[-74.1699564,4.5380008],[-74.1699216,4.5385008]]]}"
108,Villas del progreso,Ciudad Bolivar,1978,200,1400,1978,Si,Menos del 50%,2015-12-10T16:19:46.480Z,Si,Si,Si,Si,Si,No,Si,No,POINT (-74.1529561111111 4.54456444444444),"POLYGON((-74.152962 4.5455115,-74.1528757 4.5454962,-74.1528056 4.5455719,-74.1527833 4.5456912,-74.1528245 4.5458442,-74.1528641 4.5460647,-74.1528574 4.5461741,-74.1527581 4.5461791,-74.1526669 4.5461034,-74.1524953 4.5459092,-74.152388 4.5457775,-74.1522807 4.5457173,-74.1518408 4.5457146,-74.151476 4.545573,-74.15124 4.5455168,-74.1511918 4.5454633,-74.1509772 4.5449232,-74.1512292 4.5444901,-74.1514224 4.5442334,-74.1514707 4.5438912,-74.1515994 4.5435863,-74.1517174 4.5432923,-74.1519481 4.5426719,-74.1531444 4.5426826,-74.1532731 4.5426772,-74.153434 4.5431639,-74.153558 4.54342,-74.1537559 4.5439072,-74.1539597 4.5438751,-74.1540992 4.5438163,-74.1542708 4.54372,-74.1545605 4.544597,-74.1546893 4.5448002,-74.1551158 4.5456852,-74.1537881 4.5463938,-74.153536 4.5459714,-74.1533804 4.5457654,-74.153198 4.5456558,-74.152962 4.5455115))","{""type"":""Polygon"",""coordinates"":[[[-74.152962,4.5455115],[-74.1528757,4.5454962],[-74.1528056,4.5455719],[-74.1527833,4.5456912],[-74.1528245,4.5458442],[-74.1528641,4.5460647],[-74.1528574,4.5461741],[-74.1527581,4.5461791],[-74.1526669,4.5461034],[-74.1524953,4.5459092],[-74.152388,4.5457775],[-74.1522807,4.5457173],[-74.1518408,4.5457146],[-74.151476,4.545573],[-74.15124,4.5455168],[-74.1511918,4.5454633],[-74.1509772,4.5449232],[-74.1512292,4.5444901],[-74.1514224,4.5442334],[-74.1514707,4.5438912],[-74.1515994,4.5435863],[-74.1517174,4.5432923],[-74.1519481,4.5426719],[-74.1531444,4.5426826],[-74.1532731,4.5426772],[-74.153434,4.5431639],[-74.153558,4.54342],[-74.1537559,4.5439072],[-74.1539597,4.5438751],[-74.1540992,4.5438163],[-74.1542708,4.54372],[-74.1545605,4.544597],[-74.1546893,4.5448002],[-74.1551158,4.5456852],[-74.1537881,4.5463938],[-74.153536,4.5459714],[-74.1533804,4.5457654],[-74.153198,4.5456558],[-74.152962,4.5455115]]]}"
111,Palmitos,Kennedy,1985,300,1800,1985,Si,Menos del 50%,2015-12-10T16:20:48.480Z,Si,Si,Si,Si,Si,No,Si,No,POINT (-74.1778025 4.65062611111111),"POLYGON((-74.1786173 4.6507059,-74.1777939 4.6514331,-74.1774908 4.6514064,-74.177311 4.6513262,-74.1770456 4.6508824,-74.1768766 4.650992,-74.1766995 4.650853,-74.17689 4.6506257,-74.1777241 4.6501151,-74.1787648 4.6494254,-74.1790236 4.6497476,-74.1789385 4.6498231,-74.1787671 4.6496844,-74.1787029 4.6496632,-74.1786118 4.6497114,-74.178113 4.6499949,-74.1783759 4.6504012,-74.1786173 4.6507059))","{""type"":""Polygon"",""coordinates"":[[[-74.1786173,4.6507059],[-74.1777939,4.6514331],[-74.1774908,4.6514064],[-74.177311,4.6513262],[-74.1770456,4.6508824],[-74.1768766,4.650992],[-74.1766995,4.650853],[-74.17689,4.6506257],[-74.1777241,4.6501151],[-74.1787648,4.6494254],[-74.1790236,4.6497476],[-74.1789385,4.6498231],[-74.1787671,4.6496844],[-74.1787029,4.6496632],[-74.1786118,4.6497114],[-74.178113,4.6499949],[-74.1783759,4.6504012],[-74.1786173,4.6507059]]]}"
112,San German,Usme,1985,50,,1985,Si,Más del 50%,2015-12-10T16:30:20.560Z,No,Si,Si,No,No,No,No,No,POINT (-74.0961883333333 4.51755944444444),"POLYGON((-74.0963835 4.5172437,-74.0960777 4.5186074,-74.0958953 4.5189229,-74.0957558 4.5189924,-74.0956754 4.5190192,-74.0956003 4.5190138,-74.0955466 4.5189496,-74.09567 4.5184951,-74.0957451 4.518217,-74.0958095 4.5179336,-74.0957558 4.5176662,-74.0957397 4.5173988,-74.0957799 4.5173026,-74.0959006 4.5171689,-74.0959596 4.5168695,-74.0960347 4.5167464,-74.0960991 4.5165833,-74.096083 4.5164202,-74.0962011 4.5164309,-74.0967804 4.5164736,-74.0966249 4.5171314,-74.0964156 4.5171314,-74.0963835 4.5172437))","{""type"":""Polygon"",""coordinates"":[[[-74.0963835,4.5172437],[-74.0960777,4.5186074],[-74.0958953,4.5189229],[-74.0957558,4.5189924],[-74.0956754,4.5190192],[-74.0956003,4.5190138],[-74.0955466,4.5189496],[-74.09567,4.5184951],[-74.0957451,4.518217],[-74.0958095,4.5179336],[-74.0957558,4.5176662],[-74.0957397,4.5173988],[-74.0957799,4.5173026],[-74.0959006,4.5171689],[-74.0959596,4.5168695],[-74.0960347,4.5167464],[-74.0960991,4.5165833],[-74.096083,4.5164202],[-74.0962011,4.5164309],[-74.0967804,4.5164736],[-74.0966249,4.5171314],[-74.0964156,4.5171314],[-74.0963835,4.5172437]]]}"
115,San Pedro,San Cristobal,1912,,,1912,No,Más del 50%,2015-12-09T17:28:41.263Z,Si,Si,Si,Si,Si,Si,Si,No,POINT (-74.0842211111111 4.56341),"POLYGON((-74.0838173 4.5640592,-74.0836751 4.5638212,-74.0835384 4.5636287,-74.0833828 4.5634736,-74.0831333 4.5632276,-74.0836751 4.5630859,-74.0838468 4.5630458,-74.0840533 4.563003,-74.0842947 4.5629416,-74.0843672 4.5629121,-74.0846381 4.5628747,-74.0849036 4.5628159,-74.0850323 4.5633587,-74.0850914 4.5636421,-74.0846461 4.5637811,-74.0843108 4.56388,-74.0842384 4.5639335,-74.0838173 4.5640592))","{""type"":""Polygon"",""coordinates"":[[[-74.0838173,4.5640592],[-74.0836751,4.5638212],[-74.0835384,4.5636287],[-74.0833828,4.5634736],[-74.0831333,4.5632276],[-74.0836751,4.5630859],[-74.0838468,4.5630458],[-74.0840533,4.563003],[-74.0842947,4.5629416],[-74.0843672,4.5629121],[-74.0846381,4.5628747],[-74.0849036,4.5628159],[-74.0850323,4.5633587],[-74.0850914,4.5636421],[-74.0846461,4.5637811],[-74.0843108,4.56388],[-74.0842384,4.5639335],[-74.0838173,4.5640592]]]}"
116,San Pedro,Usme,1976,200,400,1976,Si,Menos del 50%,2015-12-09T17:29:46.200Z,No,Si,Si,Si,Si,Si,Si,No,POINT (-74.0864911111111 4.50720666666667),"POLYGON((-74.0838173 4.5640592,-74.0836751 4.5638212,-74.0835384 4.5636287,-74.0833828 4.5634736,-74.0831333 4.5632276,-74.0836751 4.5630859,-74.0838468 4.5630458,-74.0840533 4.563003,-74.0842947 4.5629416,-74.0843672 4.5629121,-74.0846381 4.5628747,-74.0849036 4.5628159,-74.0850323 4.5633587,-74.0850914 4.5636421,-74.0846461 4.5637811,-74.0843108 4.56388,-74.0842384 4.5639335,-74.0838173 4.5640592))","{""type"":""Polygon"",""coordinates"":[[[-74.0838173,4.5640592],[-74.0836751,4.5638212],[-74.0835384,4.5636287],[-74.0833828,4.5634736],[-74.0831333,4.5632276],[-74.0836751,4.5630859],[-74.0838468,4.5630458],[-74.0840533,4.563003],[-74.0842947,4.5629416],[-74.0843672,4.5629121],[-74.0846381,4.5628747],[-74.0849036,4.5628159],[-74.0850323,4.5633587],[-74.0850914,4.5636421],[-74.0846461,4.5637811],[-74.0843108,4.56388],[-74.0842384,4.5639335],[-74.0838173,4.5640592]]]}"
